ltable_id,rtable_id
1434308545,1701333915
1701333915,1398443071
1398443071,1701333912
1701333912,1701333914
1701333914,1374772548
1374772548,1374712417
1374712417,1375092751
1375092751,1701333916
1628142291,3993258388
3993258388,1633578764
1633578764,2012448159
2012448159,3973290911
3973290911,2071962865
2071962865,2169796390
2169796390,3883529607
3082154081,1372432715
1372432715,2063888246
2063888246,1473942169
1473942169,3079536438
3079536438,1328713617
1328713617,2060575804
2060575804,2070010940
4358894069,4206296451
4206296451,4450603120
4450603120,4450602028
4450602028,2057506159
2057506159,2111162993
2111162993,2027929598
2027929598,4464736899
4464736899,4450602322
4450602322,2074389938
2073591147,3475253393
3475253393,2062770841
2062770841,2336660280
2336660280,2067377960
2067377960,2336660279
2336660279,3475253392
3475253392,1639794733
4158629441,3845755569
3845755569,4477027120
4477027120,1743158951
1743158951,1920508153
1920508153,1929021158
1929021158,3558421110
1639256138,1401982372
1401982372,18466853240
18466853240,4070366893
4070366893,2062075977
2062075977,8431814058
8431814058,2071882570
1371718847,1701333848
1701333848,1398443058
1398443058,1374772535
1374772535,1701333851
1701333851,1701333847
1701333847,1701333850
1701333850,1434308154
1434308154,1701333849
2062777752,2079581946
2079581946,2112188184
2112188184,2070908192
2070908192,2070908197
2070908197,2070908196
2070908196,1711988032
1711988032,2070908199
3429530265,2071860396
2071860396,4094313189
4094313189,1730134275
1730134275,1989668309
1989668309,3637033902
3637033902,1798789869
1798789869,1425295476
1425295476,1477186647
1477186647,1951156656
1951156656,3930486982
3930486982,3294968865
3294968865,1854833400
1854833400,3050045988
3050045988,1639309059
1639309059,3637042235
3637042235,3235858252
3235858252,3637031760
4590034064,1497890852
1497890852,1682104352
1682104352,3962497863
3962497863,2068847065
2068847065,1711852573
1711852573,3848611844
3848611844,1709819014
1709819014,1639247978
1639247978,1639948519
1639948519,3455616150
3633533062,2068979765
2068979765,3591612064
3591612064,4205712058
4205712058,2061311891
2061311891,2074381365
2074381365,2065240489
2065240489,4006382855
1372178479,2118343114
2118343114,3946455197
3946455197,2148153592
2148153592,2056141622
2056141622,2071747028
2071747028,2059400154
2059400154,3926847772
3926916973,2118343024
2118343024,2277829162
2277829162,2059400382
2059400382,2075414111
2075414111,1653769352
1653769352,2062766801
2062766801,3046086497
3046086497,1711804257
3214249594,3249295282
3249295282,3404250548
3404250548,3280144421
3280144421,3249295277
3249295277,3214249596
3214249596,3249295278
3249295278,3249295280
3249295280,3214249593
3214249593,3087065427
3087065427,3256961937
3256961937,3087053501
3087053501,3249295279
3249295279,3214249595
3214249595,3214249598
3214249598,3214249597
1995007743,2057145715
2057145715,2057150126
2057150126,2071913667
2071913667,2060185518
2060185518,1592252801
1592252801,2055608441
2055608441,2056507060
3047893935,2120091370
2120091370,2060253226
2060253226,2057706385
2057706385,3046729281
3046729281,2054656633
2054656633,2057152058
4683128574,3797577433
3797577433,4391848279
4391848279,3946324748
3946324748,4999242302
4999242302,3267793937
3267793937,2114589717
2114589717,4999205013
4683128693,4219305672
4219305672,4999242337
4999242337,4722987437
4722987437,3267793378
3267793378,4999205061
4999205061,3798427322
1328713620,2060575805
2060575805,2070010941
2070010941,2054593355
2054593355,1431949914
1431949914,2063888248
2063888248,1386808107
1386808107,1473934808
1473934808,1314916319
1314916319,3079537442
2138241335,4093010754
4093010754,4018779157
4018779157,2062764471
2062764471,2068743068
2068743068,3926725955
3926725955,4310081745
2062122607,4437686963
4437686963,1633578762
1633578762,1628142292
1628142292,4218552688
4218552688,4295043985
4295043985,2010699361
2010699361,3883531558
3883531558,2169788953
335140369784,211516818734
211516818734,212932071327
212932071327,138961805528
138961805528,369955900212
369955900212,335230006514
335230006514,4796107660
3938878589,3797571274
3797571274,4443083796
4443083796,3558421108
3558421108,3916588372
3916588372,1743158946
1743158946,4024788225
18468637596,1401982699
1401982699,8431809688
8431809688,2117967628
2117967628,2114341514
2114341514,1639385502
1639385502,4070366978
4683128695,4999242335
4999242335,3768335626
3768335626,4219305678
4219305678,3267793376
3267793376,3832187405
3832187405,4999205059
18467925256,1401983042
1401983042,1639330963
1639330963,4062216502
4062216502,4070366897
4070366897,2117967630
2117967630,8431808974
8431808974,2065201243
2132712586,1854625863
1854625863,1548025566
1548025566,2134510956
2134510956,2092942128
2092942128,2665980518
2665980518,2087018293
2087018293,1872458663
1872458663,2147107185
3082148037,1386808104
1386808104,2058069498
2058069498,1742701267
1742701267,2058593750
2058593750,3079539810
3079539810,1328713619
1328713619,2062560136
2062560136,1512413084
3077577348,1709874755
1709874755,4557851726
4557851726,1438483240
1438483240,1661031982
1661031982,4318072332
4318072332,4495276027
4495276027,1833064067
1833064067,2097859278
2097859278,1742729606
1742729606,4623321340
4623321340,1712027392
1712027392,1639359122
1639359122,2062845102
2062845102,4313860231
1512606886,2070010942
2070010942,2075874383
2075874383,1328713622
1328713622,1386808105
1386808105,3079540038
3079540038,2058593751
2118343045,1711995496
1711995496,1653769508
1653769508,2113760999
2113760999,2146119221
2146119221,2062766088
2062766088,2063718969
2063718969,2059400301
1487880547,1487880545
1487880545,1485299239
1485299239,1485299243
1485299243,1487880544
1487880544,1487880546
1487880546,2234617577
2234617577,1487880548
1487880548,1487880543
1487880543,1485299240
1485299240,1485299241
1485299241,1485299242
1485299242,1410058006
4897654827,4823759244
4823759244,42156242181
42156242181,4935501979
4935501979,5111591626
5111591626,4893056636
4893056636,4928174983
4928174983,5137881188
1592249119,2054734151
2054734151,2057150784
2057150784,2057143127
2057143127,2055608440
2055608440,2060185514
2060185514,1565913509
1565913509,2071892335
4099060832,3618222408
3618222408,1920508155
1920508155,1743158953
1743158953,1929021159
1929021159,4477028417
4477028417,3709420925
3709420925,3878815869
3797577168,1743158949
1743158949,4477028416
4477028416,3916588373
3916588373,4024788228
4024788228,3563396042
3563396042,4128826467
1639155385,2235828707
2235828707,4062216532
4062216532,1401982553
1401982553,4070366943
4070366943,2062075980
2062075980,18465839155
